source,body_name,corner_label,morph,q,stage_index,user_stage,pole_freq_hz,pole_radius,zero_freq_hz,zero_radius,c0,c1,c2,c3,c4,stage_peak_db,cancellation_db,role,source_file
raw-v1,ah_to_ee_talking_formant,M0,0,,0,S1,7000.0,0.88,,,,,,,,13.72,-8.04,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,1,S2,700.0,0.92,,,,,,,,35.26,-11.28,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,2,S3,1220.0,0.92,,,,,,,,30.47,-11.22,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,4,S5,2600.0,0.92,,,,,,,,24.08,-10.93,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M0,0,,5,S6,87.0,0.85,0.0,1.0,,,,,,1.35,-66.81,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,0,S1,7000.0,0.88,,,,,,,,13.72,-8.04,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,1,S2,342.0,0.92,,,,,,,,40.74,-11.3,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,2,S3,2322.0,0.92,,,,,,,,25.02,-11.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,3,S4,,,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,4,S5,3000.0,0.92,,,,,,,,22.92,-10.8,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,ah_to_ee_talking_formant,M100,1,,5,S6,120.0,0.85,0.0,1.0,,,,,,1.35,-66.87,,authoring\emu_designer\generated\ah_to_ee_talking_formant.raw.json
raw-v1,mouth_clamp,M0,0,,0,S1,6000.0,0.88,,,,,,,,14.63,-8.84,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,1,S2,1700.0,0.75,,,,,,,,18.55,-9.54,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,2,S3,900.0,0.75,,,,,,,,22.14,-9.65,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,3,S4,1900.0,0.7,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,4,S5,400.0,0.75,,,,,,,,23.66,-9.69,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M0,0,,5,S6,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,0,S1,4000.0,0.88,,,,,,,,17.35,-10.03,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,1,S2,570.0,0.75,,,,,,,,23.25,-9.68,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,2,S3,1200.0,0.75,,,,,,,,20.88,-9.62,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,3,S4,1500.0,0.7,,,,,,,,0.0,0.0,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,4,S5,1200.0,0.75,,,,,,,,20.88,-9.62,,authoring\emu_designer\generated\mouth_clamp.raw.json
raw-v1,mouth_clamp,M100,1,,5,S6,80.0,0.85,0.0,1.0,,,,,,1.35,-66.8,,authoring\emu_designer\generated\mouth_clamp.raw.json
